,"[0,2]","[2,4]","[4,6]","[0,8]","[8,10]","[10,12]","[0,14]","[14,16]","[16,18]","[0,20]","[20,22]","[22,24]",AC
0,185,94,75,3,86,91,259,268,268,279,262,264,"[0,0,1,0,0,0]"
1,185,94,72,3,83,91,259,268,269,279,261,264,"[0,0,1,0,0,0]"
2,185,96,73,5,87,91,260,269,270,280,263,265,"[0,0,1,0,0,0]"
3,185,101,74,5,88,92,260,269,270,280,263,265,"[0,0,1,0,0,0]"
4,185,96,73,3,84,93,259,268,270,280,262,264,"[0,0,1,0,0,0]"
5,186,92,83,8,87,90,256,269,270,278,266,265,"[0,0,1,0,0,0]"
6,185,93,83,7,87,90,256,269,271,278,266,266,"[0,0,1,0,0,0]"
7,184,92,83,4,87,91,256,269,271,278,266,265,"[0,0,1,0,0,0]"
8,182,91,83,2,87,90,256,270,272,277,266,265,"[0,0,1,0,0,0]"
9,182,92,82,4,87,90,255,270,271,277,266,265,"[0,0,1,0,0,0]"
10,181,88,87,3,91,93,258,270,272,280,266,263,"[0,0,1,0,0,0]"
11,181,90,83,1,91,91,258,269,272,281,264,262,"[0,0,1,0,0,0]"
12,180,86,86,1,90,88,259,270,273,281,266,264,"[0,0,1,0,0,0]"
13,181,90,84,1,89,92,258,270,273,280,265,263,"[0,0,1,0,0,0]"
14,181,87,86,1,88,91,258,271,274,280,265,264,"[0,0,1,0,0,0]"
15,180,88,77,1,73,94,260,264,268,282,264,267,"[0,0,1,0,0,0]"
16,180,88,82,1,74,98,260,266,269,282,267,269,"[0,0,1,0,0,0]"
17,181,90,81,1,75,96,260,266,269,283,265,269,"[0,0,1,0,0,0]"
18,178,90,76,0,74,97,260,268,270,282,266,270,"[0,0,1,0,0,0]"
19,181,89,81,3,73,96,258,266,268,281,265,268,"[0,0,1,0,0,0]"
20,177,90,77,0,83,91,258,272,269,280,267,269,"[0,0,1,0,0,0]"
21,177,89,77,3,86,87,256,271,268,278,266,268,"[0,0,1,0,0,0]"
22,180,90,78,1,86,90,256,270,267,279,265,268,"[0,0,1,0,0,0]"
23,176,88,77,3,83,90,256,270,267,279,264,268,"[0,0,1,0,0,0]"
24,180,90,77,0,82,93,258,270,268,280,266,269,"[0,0,1,0,0,0]"
25,180,102,75,3,82,104,258,266,274,278,270,265,"[0,0,1,0,0,0]"
26,183,101,77,3,81,105,257,266,273,278,270,265,"[0,0,1,0,0,0]"
27,180,103,76,1,80,106,257,266,273,278,269,264,"[0,0,1,0,0,0]"
28,180,103,76,5,81,105,257,266,273,278,270,264,"[0,0,1,0,0,0]"
29,181,102,76,3,81,104,258,265,273,278,270,264,"[0,0,1,0,0,0]"
30,178,105,74,1,82,110,257,271,271,280,266,267,"[0,0,1,0,0,0]"
31,180,103,75,1,84,109,257,272,271,279,267,267,"[0,0,1,0,0,0]"
32,180,98,82,1,89,100,257,271,270,280,266,267,"[0,0,1,0,0,0]"
33,183,98,82,2,88,102,257,271,270,280,266,268,"[0,0,1,0,0,0]"
34,180,100,80,1,88,101,257,270,270,280,265,267,"[0,0,1,0,0,0]"
35,175,94,71,4,86,96,257,273,271,276,267,269,"[0,0,1,0,0,0]"
36,175,97,69,2,84,97,257,273,270,275,267,268,"[0,0,1,0,0,0]"
37,176,98,69,4,85,99,257,273,270,275,267,268,"[0,0,1,0,0,0]"
38,178,98,71,2,84,98,259,275,272,277,268,270,"[0,0,1,0,0,0]"
39,178,97,72,2,87,100,258,275,271,276,268,268,"[0,0,1,0,0,0]"
40,184,94,71,3,82,98,259,269,272,281,268,266,"[0,0,1,0,0,0]"
41,185,95,73,6,81,97,259,267,271,281,266,264,"[0,0,1,0,0,0]"
42,184,93,73,4,82,97,259,266,271,281,266,264,"[0,0,1,0,0,0]"
43,184,94,73,4,82,97,258,268,271,280,268,264,"[0,0,1,0,0,0]"
44,184,97,72,6,81,95,259,270,273,281,270,267,"[0,0,1,0,0,0]"
45,186,91,84,8,84,93,259,272,265,279,265,268,"[0,0,1,0,0,0]"
46,178,91,85,1,82,93,259,272,265,280,265,269,"[0,0,1,0,0,0]"
47,181,91,83,0,82,93,258,271,265,280,265,268,"[0,0,1,0,0,0]"
48,183,92,84,4,84,93,258,271,265,279,266,268,"[0,0,1,0,0,0]"
49,183,93,85,1,83,95,259,271,266,280,266,268,"[0,0,1,0,0,0]"
50,181,96,74,0,79,101,258,268,266,278,266,268,"[0,0,1,0,0,0]"
51,178,84,78,7,92,90,258,268,268,278,268,270,"[0,0,1,0,0,0]"
52,178,86,79,2,90,92,258,267,266,278,267,268,"[0,0,1,0,0,0]"
53,184,88,79,0,90,93,258,266,266,278,268,268,"[0,0,1,0,0,0]"
54,181,87,77,0,87,91,256,267,266,277,264,266,"[0,0,1,0,0,0]"
