,"[0,2]","[2,4]","[4,6]","[0,8]","[8,10]","[10,12]","[0,14]","[14,16]","[16,18]","[0,20]","[20,22]","[22,24]",AC
0,180,264,256,360,290,301,257,207,350,282,366,197,"[1,0,0,0,0,0]"
1,180,263,256,360,292,304,257,204,350,284,365,197,"[1,0,0,0,0,0]"
2,180,264,255,360,293,305,258,203,350,284,363,197,"[1,0,0,0,0,0]"
3,180,264,255,360,295,305,258,203,349,284,362,197,"[1,0,0,0,0,0]"
4,180,262,263,361,297,308,258,203,348,286,363,197,"[1,0,0,0,0,0]"
5,178,250,245,360,291,294,255,199,370,284,342,172,"[1,0,0,0,0,0]"
6,178,250,245,358,291,296,256,198,371,284,339,171,"[1,0,0,0,0,0]"
7,180,251,245,358,291,295,255,198,371,284,342,172,"[1,0,0,0,0,0]"
8,178,249,246,358,290,296,257,198,371,285,339,171,"[1,0,0,0,0,0]"
9,178,250,245,358,292,295,256,200,371,284,338,170,"[1,0,0,0,0,0]"
10,180,246,237,361,289,292,257,190,339,284,336,198,"[1,0,0,0,0,0]"
11,181,247,238,361,289,292,257,190,338,284,334,198,"[1,0,0,0,0,0]"
12,181,246,238,361,289,292,257,190,338,284,334,198,"[1,0,0,0,0,0]"
13,183,247,237,361,289,293,257,188,338,285,334,198,"[1,0,0,0,0,0]"
14,181,247,237,363,289,292,258,187,337,285,332,198,"[1,0,0,0,0,0]"
15,180,254,245,361,282,286,255,214,379,283,310,152,"[1,0,0,0,0,0]"
16,180,254,245,360,283,285,255,216,379,282,309,152,"[1,0,0,0,0,0]"
17,178,254,245,360,280,288,255,214,378,283,311,154,"[1,0,0,0,0,0]"
18,180,255,245,360,282,285,256,216,379,283,308,151,"[1,0,0,0,0,0]"
19,178,255,245,360,282,286,255,216,379,283,310,152,"[1,0,0,0,0,0]"
20,180,237,225,360,294,303,256,170,343,285,361,193,"[1,0,0,0,0,0]"
21,181,237,226,358,294,302,256,171,342,285,356,193,"[1,0,0,0,0,0]"
22,181,237,225,358,294,303,256,172,342,285,356,193,"[1,0,0,0,0,0]"
23,181,237,225,360,294,303,256,171,342,285,358,193,"[1,0,0,0,0,0]"
24,181,236,224,360,294,305,256,172,343,285,357,193,"[1,0,0,0,0,0]"
25,180,249,239,360,288,292,256,203,369,284,326,160,"[1,0,0,0,0,0]"
26,180,248,240,360,288,292,255,205,370,283,326,160,"[1,0,0,0,0,0]"
27,181,248,240,360,287,291,255,205,369,283,329,161,"[1,0,0,0,0,0]"
28,180,248,240,358,289,292,255,204,370,284,329,162,"[1,0,0,0,0,0]"
29,180,248,240,360,287,293,255,205,371,284,326,161,"[1,0,0,0,0,0]"
30,181,254,250,363,286,305,256,220,383,282,333,164,"[1,0,0,0,0,0]"
31,181,253,251,363,285,305,256,220,383,282,333,164,"[1,0,0,0,0,0]"
32,181,254,251,363,285,305,255,221,383,282,333,164,"[1,0,0,0,0,0]"
33,181,253,251,361,285,305,255,220,382,282,334,164,"[1,0,0,0,0,0]"
34,181,253,251,363,285,305,255,221,383,282,333,163,"[1,0,0,0,0,0]"
35,176,254,244,356,278,284,256,214,377,281,329,164,"[1,0,0,0,0,0]"
36,178,253,245,358,279,284,255,213,376,281,323,162,"[1,0,0,0,0,0]"
37,176,253,244,358,279,284,255,213,376,281,328,165,"[1,0,0,0,0,0]"
38,176,253,245,358,280,284,256,212,375,282,326,164,"[1,0,0,0,0,0]"
39,178,253,245,358,279,284,256,212,375,282,327,165,"[1,0,0,0,0,0]"
40,177,250,248,358,297,299,253,180,342,283,366,199,"[1,0,0,0,0,0]"
41,177,250,245,358,298,301,254,183,343,283,366,199,"[1,0,0,0,0,0]"
42,178,250,244,358,297,301,254,183,343,283,363,198,"[1,0,0,0,0,0]"
43,178,250,245,358,297,302,255,183,343,284,363,198,"[1,0,0,0,0,0]"
44,178,250,246,358,298,303,255,184,343,285,362,198,"[1,0,0,0,0,0]"
