,"[0,2]","[2,4]","[4,6]","[0,8]","[8,10]","[10,12]","[0,14]","[14,16]","[16,18]","[0,20]","[20,22]","[22,24]",AC
0,251,275,262,77,109,112,324,238,253,348,290,287,"[0,0,0,1,0,0]"
1,255,275,265,85,102,110,325,237,254,349,290,287,"[0,0,0,1,0,0]"
2,251,270,258,74,100,107,325,237,248,348,289,288,"[0,0,0,1,0,0]"
3,252,271,259,75,101,107,322,236,251,347,291,288,"[0,0,0,1,0,0]"
4,246,270,260,69,91,96,314,239,252,340,291,289,"[0,0,0,1,0,0]"
5,250,260,252,81,91,104,320,228,251,345,297,296,"[0,0,0,1,0,0]"
6,252,263,256,83,88,102,321,230,249,346,296,295,"[0,0,0,1,0,0]"
7,253,260,256,84,83,99,322,236,241,347,294,293,"[0,0,0,1,0,0]"
8,253,261,257,83,82,95,322,234,243,347,295,293,"[0,0,0,1,0,0]"
9,253,262,256,84,80,94,322,235,244,347,295,294,"[0,0,0,1,0,0]"
10,259,258,257,86,87,83,315,247,243,336,289,284,"[0,0,0,1,0,0]"
11,258,257,252,85,85,88,314,247,242,335,289,285,"[0,0,0,1,0,0]"
12,261,254,252,85,85,85,314,247,242,335,289,285,"[0,0,0,1,0,0]"
13,259,255,254,86,86,82,314,247,243,335,289,284,"[0,0,0,1,0,0]"
14,259,253,251,83,87,85,314,247,243,335,289,285,"[0,0,0,1,0,0]"
15,252,270,258,79,75,85,322,245,249,345,280,279,"[0,0,0,1,0,0]"
16,250,270,259,75,71,78,322,244,250,344,281,279,"[0,0,0,1,0,0]"
17,251,272,260,79,76,83,322,243,249,344,279,278,"[0,0,0,1,0,0]"
18,250,270,258,77,71,78,321,246,246,344,280,278,"[0,0,0,1,0,0]"
19,255,267,258,78,70,76,323,244,247,345,280,277,"[0,0,0,1,0,0]"
20,252,279,265,84,82,88,302,250,247,332,272,275,"[0,0,0,1,0,0]"
21,261,275,265,77,76,82,301,251,247,329,273,275,"[0,0,0,1,0,0]"
22,259,276,265,78,73,81,298,251,248,327,273,275,"[0,0,0,1,0,0]"
23,257,276,265,76,71,80,297,252,247,326,273,275,"[0,0,0,1,0,0]"
24,257,275,265,76,73,80,298,250,247,328,273,275,"[0,0,0,1,0,0]"
25,251,261,251,73,62,73,315,230,236,338,303,294,"[0,0,0,1,0,0]"
26,251,261,251,74,63,75,315,231,236,338,303,294,"[0,0,0,1,0,0]"
27,252,262,251,74,62,73,316,231,236,339,304,294,"[0,0,0,1,0,0]"
28,251,260,251,72,63,71,316,230,236,340,304,294,"[0,0,0,1,0,0]"
29,248,260,250,74,62,69,316,230,236,342,304,295,"[0,0,0,1,0,0]"
30,256,273,257,86,72,81,323,242,249,348,289,284,"[0,0,0,1,0,0]"
31,254,272,257,84,71,78,322,243,249,348,290,284,"[0,0,0,1,0,0]"
32,253,272,258,82,65,70,319,243,249,344,290,284,"[0,0,0,1,0,0]"
33,254,276,260,83,65,71,320,241,250,345,289,286,"[0,0,0,1,0,0]"
34,254,274,259,81,59,67,319,242,249,344,289,285,"[0,0,0,1,0,0]"
35,260,270,260,90,102,117,321,253,249,349,281,278,"[0,0,0,1,0,0]"
36,260,271,260,88,100,116,320,252,247,347,281,278,"[0,0,0,1,0,0]"
37,265,270,261,85,90,107,320,252,247,342,281,277,"[0,0,0,1,0,0]"
38,262,270,262,83,86,107,318,252,247,341,281,278,"[0,0,0,1,0,0]"
39,263,270,262,82,89,105,318,252,248,341,281,278,"[0,0,0,1,0,0]"
40,250,271,261,76,63,68,311,247,247,335,292,286,"[0,0,0,1,0,0]"
41,250,270,259,75,61,66,311,245,247,334,291,286,"[0,0,0,1,0,0]"
42,249,270,259,78,62,68,313,244,247,337,292,286,"[0,0,0,1,0,0]"
43,252,269,259,74,62,68,312,244,247,336,292,286,"[0,0,0,1,0,0]"
44,252,270,259,75,60,63,314,243,247,336,292,286,"[0,0,0,1,0,0]"
45,254,264,255,81,75,92,327,241,244,352,289,288,"[0,0,0,1,0,0]"
46,251,267,255,80,77,95,327,239,248,351,290,289,"[0,0,0,1,0,0]"
47,253,265,255,80,75,93,329,241,244,352,289,288,"[0,0,0,1,0,0]"
48,251,267,256,78,75,92,328,240,247,352,289,289,"[0,0,0,1,0,0]"
49,251,267,256,78,75,92,328,240,247,351,290,288,"[0,0,0,1,0,0]"
50,251,265,257,80,75,88,318,239,237,341,297,294,"[0,0,0,1,0,0]"
51,251,267,256,83,75,90,317,238,236,341,297,294,"[0,0,0,1,0,0]"
52,253,265,255,81,75,91,315,238,237,338,297,293,"[0,0,0,1,0,0]"
53,249,266,254,83,76,90,316,238,237,339,297,293,"[0,0,0,1,0,0]"
54,248,268,255,83,74,90,316,237,237,340,297,293,"[0,0,0,1,0,0]"
55,256,268,253,88,87,95,326,233,242,349,302,296,"[0,0,0,1,0,0]"
56,258,261,250,91,72,81,328,227,243,351,305,297,"[0,0,0,1,0,0]"
57,256,258,251,88,77,91,329,227,242,354,304,298,"[0,0,0,1,0,0]"
58,254,258,248,85,78,90,327,225,246,353,306,298,"[0,0,0,1,0,0]"
59,254,259,247,83,76,90,327,225,248,353,306,299,"[0,0,0,1,0,0]"
