,"[0,2]","[2,4]","[4,6]","[0,8]","[8,10]","[10,12]","[0,14]","[14,16]","[16,18]","[0,20]","[20,22]","[22,24]",AC
0,180,240,8,361,306,173,244,202,331,271,258,260,"[0,0,0,0,1,0]"
1,180,242,9,360,306,173,245,204,332,272,258,261,"[0,0,0,0,1,0]"
2,177,242,8,358,306,172,244,204,332,270,258,261,"[0,0,0,0,1,0]"
3,174,240,5,357,303,170,242,204,331,269,258,260,"[0,0,0,0,1,0]"
4,178,240,6,360,305,174,244,205,331,271,258,261,"[0,0,0,0,1,0]"
5,176,237,11,356,293,158,246,214,325,273,258,259,"[0,0,0,0,1,0]"
6,175,237,10,356,291,157,245,213,325,272,258,259,"[0,0,0,0,1,0]"
7,175,236,10,355,289,157,245,213,325,272,258,259,"[0,0,0,0,1,0]"
8,175,236,11,356,291,158,246,214,324,272,259,260,"[0,0,0,0,1,0]"
9,175,241,12,356,295,158,247,214,325,274,258,259,"[0,0,0,0,1,0]"
10,176,245,17,356,292,164,247,219,324,272,260,256,"[0,0,0,0,1,0]"
11,180,245,17,360,294,166,249,217,324,274,261,256,"[0,0,0,0,1,0]"
12,178,243,16,360,294,166,249,217,325,274,261,257,"[0,0,0,0,1,0]"
13,178,241,17,360,291,165,249,218,325,273,261,258,"[0,0,0,0,1,0]"
14,178,240,14,360,293,165,249,218,325,273,261,258,"[0,0,0,0,1,0]"
15,176,248,35,357,290,142,248,228,327,275,257,261,"[0,0,0,0,1,0]"
16,177,246,35,356,289,144,247,227,327,274,257,262,"[0,0,0,0,1,0]"
17,177,246,35,358,290,144,248,227,327,274,257,262,"[0,0,0,0,1,0]"
18,180,245,36,358,291,145,249,227,325,275,257,261,"[0,0,0,0,1,0]"
19,173,241,31,354,286,140,246,227,325,273,256,261,"[0,0,0,0,1,0]"
20,177,249,30,357,286,140,249,208,345,274,263,255,"[0,0,0,0,1,0]"
21,178,248,31,360,285,142,250,206,341,275,265,254,"[0,0,0,0,1,0]"
22,178,249,31,358,285,143,249,206,339,274,265,254,"[0,0,0,0,1,0]"
23,176,247,28,355,285,141,249,208,338,274,264,253,"[0,0,0,0,1,0]"
24,178,249,29,357,288,144,250,210,340,275,264,254,"[0,0,0,0,1,0]"
25,177,245,25,358,282,148,247,205,325,274,259,256,"[0,0,0,0,1,0]"
26,180,248,26,360,282,148,247,208,328,274,261,255,"[0,0,0,0,1,0]"
27,180,249,26,360,282,148,248,208,328,275,261,256,"[0,0,0,0,1,0]"
28,180,250,26,362,283,149,247,208,328,275,260,254,"[0,0,0,0,1,0]"
29,175,244,23,356,279,146,244,202,317,272,260,258,"[0,0,0,0,1,0]"
30,178,240,10,358,297,160,252,231,318,279,253,261,"[0,0,0,0,1,0]"
31,178,240,11,358,295,159,252,233,319,279,254,261,"[0,0,0,0,1,0]"
32,178,240,11,360,296,159,252,233,319,279,254,261,"[0,0,0,0,1,0]"
33,178,241,12,360,295,160,251,232,318,279,255,262,"[0,0,0,0,1,0]"
34,178,242,13,357,291,155,251,234,315,278,253,262,"[0,0,0,0,1,0]"
35,175,250,34,355,283,142,249,212,325,272,259,261,"[0,0,0,0,1,0]"
36,175,251,35,357,283,142,249,212,326,272,260,260,"[0,0,0,0,1,0]"
37,174,253,36,355,283,142,249,207,325,272,260,260,"[0,0,0,0,1,0]"
38,172,251,34,355,282,142,248,207,324,271,259,261,"[0,0,0,0,1,0]"
39,173,252,35,354,282,140,248,207,325,272,259,261,"[0,0,0,0,1,0]"
40,181,250,16,358,287,164,253,237,325,278,260,260,"[0,0,0,0,1,0]"
41,180,249,15,358,285,162,253,234,327,277,260,259,"[0,0,0,0,1,0]"
42,178,248,14,358,285,162,252,237,326,277,259,259,"[0,0,0,0,1,0]"
43,180,247,13,357,285,162,252,236,326,277,260,259,"[0,0,0,0,1,0]"
44,178,247,13,358,285,161,252,239,325,276,258,259,"[0,0,0,0,1,0]"
45,177,255,35,357,281,138,250,202,331,274,258,258,"[0,0,0,0,1,0]"
46,176,254,36,357,279,137,249,201,331,274,258,258,"[0,0,0,0,1,0]"
47,176,254,37,357,279,137,249,200,330,273,258,258,"[0,0,0,0,1,0]"
48,177,255,36,357,280,136,250,201,331,274,257,258,"[0,0,0,0,1,0]"
49,178,255,37,358,281,140,250,201,331,275,259,257,"[0,0,0,0,1,0]"
