,nose_X,nose_Y,neck_X,neck_Y,right_shoulder_X,right_shoulder_Y,right_elbow_X,right_elbow_Y,right_wrist_X,right_wrist_Y,left_shoulder_X,left_shoulder_Y,left_elbow_X,left_elbow_Y,left_wrist_X,left_wrist_Y,right_hip_X,right_hip_Y,right_knee_X,right_knee_Y,right_ankle_X,right_ankle_Y,left_hip_X,left_hip_Y,left_knee_X,left_knee_Y,left_ankle_X,left_ankle_Y,right_eye_X,right_eye_Y,left_eye_X,left_eye_Y,right_ear_X,right_ear_Y,left_ear_X,left_ear_Y,Activity
0,737,431,735,474,693,474,688,525,676,576,775,474,793,521,821,566,711,579,686,592,811,612,759,578,811,572,686,612,728,423,744,423,715,428,755,427,Padam
1,737,430,734,474,693,474,687,523,675,572,774,474,793,521,823,564,711,578,685,590,813,612,760,577,813,572,685,612,728,423,745,423,715,428,755,427,Padam
2,736,430,733,474,692,474,687,523,674,574,773,474,793,520,824,563,711,578,683,590,811,612,759,575,811,572,683,612,727,423,743,423,714,428,754,427,Padam
3,735,431,733,474,692,474,687,524,674,573,772,474,793,519,824,562,711,578,684,590,809,613,759,575,809,573,684,613,727,423,743,424,714,428,754,428,Padam
4,746,445,730,478,690,478,683,529,678,572,769,477,792,522,823,561,710,578,682,590,810,617,758,574,810,577,682,617,738,436,752,437,718,432,,,Padam
5,644,427,640,476,599,475,580,530,552,591,681,476,702,529,724,577,613,584,569,600,668,581,668,581,724,599,613,584,637,419,653,420,623,424,663,426,Padam
6,645,428,640,477,599,476,580,531,552,592,681,478,702,530,725,577,614,584,570,599,667,580,667,580,724,601,614,584,637,420,653,421,624,425,663,427,Padam
7,645,428,640,477,598,477,580,532,552,593,681,478,702,530,725,578,613,585,569,600,666,581,666,581,725,600,613,585,637,420,653,421,624,425,664,428,Padam
8,645,429,641,478,600,477,579,533,552,594,682,479,701,529,725,578,617,584,569,600,669,579,669,579,725,600,617,584,637,421,654,422,624,426,665,428,Padam
9,645,430,641,478,600,477,580,532,552,594,681,479,702,530,725,578,615,583,569,600,668,580,668,580,724,602,615,583,637,422,654,423,624,427,664,429,Padam
10,589,445,590,487,558,487,536,537,508,581,623,486,641,537,659,580,570,578,525,586,648,633,614,578,648,593,525,633,581,438,597,438,572,444,608,443,Padam
11,587,447,589,487,556,488,536,537,509,581,622,486,640,537,658,580,569,578,525,586,647,634,613,578,647,594,525,634,580,440,595,440,570,445,606,445,Padam
12,588,447,590,487,557,488,536,536,508,581,622,486,640,537,658,580,570,578,525,586,648,634,614,578,648,594,525,634,580,440,596,439,571,445,607,444,Padam
