,nose_X,nose_Y,neck_X,neck_Y,right_shoulder_X,right_shoulder_Y,right_elbow_X,right_elbow_Y,right_wrist_X,right_wrist_Y,left_shoulder_X,left_shoulder_Y,left_elbow_X,left_elbow_Y,left_wrist_X,left_wrist_Y,right_hip_X,right_hip_Y,right_knee_X,right_knee_Y,right_ankle_X,right_ankle_Y,left_hip_X,left_hip_Y,left_knee_X,left_knee_Y,left_ankle_X,left_ankle_Y,right_eye_X,right_eye_Y,left_eye_X,left_eye_Y,right_ear_X,right_ear_Y,left_ear_X,left_ear_Y,Activity
0,,,792,590,781,571,,,,,802,605,736,618,670,627,654,578,549,591,450,597,654,578,549,591,450,597,,,,,835,592,,,Shav
1,,,793,590,783,572,,,,,802,605,737,618,669,627,653,577,550,590,451,598,653,577,550,590,451,598,,,,,836,592,,,Shav
2,,,793,590,783,572,,,,,802,605,736,618,670,627,653,577,553,592,452,597,653,577,553,592,452,597,,,,,835,592,,,Shav
3,,,793,589,784,572,,,,,801,605,735,618,669,627,654,578,553,592,450,596,654,578,553,592,450,596,,,,,835,591,,,Shav
4,843,581,794,591,787,575,,,,,801,605,738,617,669,627,653,577,554,591,449,596,653,577,554,591,449,596,841,576,,,830,581,,,Shav
5,729,564,695,591,681,571,,,,,701,606,636,616,580,625,584,598,477,591,371,596,584,598,477,591,371,596,,,739,570,,,737,593,Shav
6,729,564,695,591,686,573,,,,,701,606,636,616,580,625,586,598,477,591,376,596,586,598,477,591,376,596,,,739,570,,,738,594,Shav
7,730,565,696,591,684,572,,,,,702,606,635,616,580,625,581,597,476,592,374,598,581,597,476,592,374,598,,,740,571,,,738,593,Shav
8,729,565,695,590,683,573,,,,,702,606,636,616,580,625,583,597,478,591,376,596,583,597,478,591,376,596,,,739,571,,,738,595,Shav
9,729,565,696,591,684,573,,,,,701,605,637,616,580,625,583,596,480,591,373,596,583,596,480,591,373,596,,,739,570,,,738,594,Shav
10,786,591,751,619,745,598,,,,,754,639,701,645,639,663,636,634,527,617,420,622,636,634,527,617,420,622,796,587,797,597,,,798,627,Shav
11,785,591,750,618,743,598,,,,,754,638,699,645,639,663,636,634,526,617,419,621,636,634,526,617,419,621,796,587,796,597,,,798,627,Shav
12,785,590,751,618,744,598,,,,,755,638,703,645,639,663,636,633,526,616,420,620,636,633,526,616,420,620,795,587,796,596,,,798,626,Shav
13,786,590,751,618,744,598,,,,,754,638,703,643,643,665,632,631,527,616,419,621,632,631,527,616,419,621,795,586,797,596,,,798,626,Shav
14,785,589,750,616,744,596,,,,,754,637,702,644,643,665,636,633,523,615,420,619,636,633,523,615,420,619,795,586,796,595,,,798,626,Shav
15,763,574,728,607,731,611,,,,,731,619,669,643,599,649,620,625,498,601,370,617,620,625,498,601,368,617,770,571,774,580,,,772,608,Shav
16,765,575,728,608,732,614,,,,,730,619,669,642,599,649,619,626,496,604,370,617,619,626,496,604,366,618,769,572,774,580,,,771,609,Shav
17,763,575,728,607,731,611,,,,,731,620,669,642,599,649,621,627,496,602,369,618,621,627,496,602,366,618,769,571,774,580,,,772,608,Shav
18,764,574,728,607,723,594,,,,,731,620,670,642,598,649,620,623,494,604,370,618,620,623,494,604,368,619,769,571,774,580,,,772,607,Shav
19,765,576,728,609,732,618,,,,,729,617,671,643,601,650,615,621,496,602,370,618,615,621,496,602,367,618,767,573,775,581,,,772,607,Shav
20,819,595,788,623,784,603,,,772,595,791,643,732,658,669,676,692,651,559,634,390,644,692,651,559,634,390,644,,,830,600,,,829,627,Shav
21,819,594,788,624,,,,,,,792,643,732,658,669,677,690,650,560,630,398,648,690,650,560,630,398,648,,,830,600,,,830,626,Shav
22,819,595,790,624,,,,,,,792,643,732,658,670,675,691,647,561,631,396,645,691,647,561,631,396,645,,,830,601,,,830,627,Shav
23,819,595,790,624,,,,,,,793,643,732,659,670,676,690,648,560,632,396,645,690,648,560,632,396,645,,,830,601,,,831,625,Shav
24,820,595,789,625,785,605,,,,,791,644,732,658,670,676,690,650,559,630,396,645,690,650,559,630,396,645,,,830,601,,,830,626,Shav
25,756,563,715,589,,,,,,,717,603,661,617,604,631,588,593,498,590,383,592,588,593,498,590,383,592,764,560,765,571,,,762,597,Shav
26,756,563,715,590,,,,,,,716,603,661,616,602,632,590,592,500,594,385,594,590,592,500,594,385,594,763,559,765,571,,,762,597,Shav
27,756,563,715,591,,,,,,,717,604,662,617,603,632,589,591,501,591,386,593,589,591,501,591,386,593,764,559,765,571,,,762,597,Shav
28,757,563,715,591,,,,,,,717,603,663,616,603,631,590,590,499,592,387,591,590,590,499,592,387,591,765,560,766,571,,,763,597,Shav
29,757,562,715,591,,,,,,,717,603,663,616,603,631,591,593,500,590,385,595,591,593,500,590,385,595,765,560,766,569,,,762,596,Shav
30,807,561,780,587,,,,,,,785,597,711,616,644,618,650,589,534,579,421,596,650,589,534,579,421,596,813,557,816,567,,,815,590,Shav
31,805,561,781,587,,,,,,,785,597,711,617,644,618,652,590,535,580,422,596,652,590,535,580,422,596,812,557,815,565,,,814,591,Shav
32,805,561,780,587,,,,,,,785,597,711,616,644,618,653,591,534,581,421,596,653,591,534,581,421,596,811,556,815,565,,,814,591,Shav
33,805,561,780,587,,,,,,,785,597,712,616,645,618,654,593,536,578,421,597,654,593,536,578,421,597,813,557,815,566,,,814,591,Shav
34,805,560,781,587,,,,,,,785,597,712,616,645,618,651,592,532,578,421,596,651,592,532,578,421,596,,,815,566,,,815,590,Shav
35,817,570,778,598,,,,,,,782,615,717,620,654,627,653,582,552,586,435,604,653,582,555,598,435,604,823,566,825,575,,,819,601,Shav
36,816,569,777,597,,,,,,,781,615,715,620,652,627,653,582,552,585,434,606,653,582,555,598,434,606,823,565,825,575,,,819,601,Shav
37,815,569,778,598,,,,,,,782,616,716,620,652,627,654,582,553,582,434,605,654,582,556,598,434,605,823,565,824,575,,,819,601,Shav
38,815,569,776,598,,,,,,,781,617,713,620,652,627,652,581,551,583,433,605,652,581,555,599,433,605,823,564,824,575,,,820,601,Shav
39,815,569,778,597,,,,,,,781,616,713,621,651,627,654,581,551,584,435,604,654,581,555,599,435,604,823,565,824,576,,,819,601,Shav
40,829,559,792,588,803,606,,,,,803,606,747,616,692,628,671,582,559,596,443,602,671,582,564,582,443,602,,,836,563,833,596,834,593,Shav
41,827,559,791,587,802,605,749,616,693,628,804,607,743,616,692,628,671,583,564,595,445,601,671,583,565,583,445,601,,,835,563,834,596,834,592,Shav
42,828,559,791,588,802,605,,,,,805,606,747,616,692,628,671,582,559,596,446,603,671,582,564,582,446,603,835,557,837,565,,,835,593,Shav
43,828,560,791,588,800,605,,,,,804,607,742,614,685,627,670,580,564,595,445,604,670,580,565,583,445,604,,,837,565,,,835,593,Shav
44,827,559,792,588,800,604,,,,,803,606,743,614,685,626,670,580,559,596,444,601,670,580,564,582,444,601,834,556,836,564,,,834,593,Shav
45,819,563,780,596,NA,NA,NA,NA,NA,NA,779,609,720,621,660,630,644,594,541,589,430,597,644,594,541,589,430,597,NA,NA,828,568,NA,NA,824,595,Shav
46,820,563,779,596,783,613,718,622,NA,NA,783,613,719,625,661,631,645,590,544,587,431,597,645,590,544,587,431,597,NA,NA,828,568,NA,NA,823,596,Shav
