,nose_X,nose_Y,neck_X,neck_Y,right_shoulder_X,right_shoulder_Y,right_elbow_X,right_elbow_Y,right_wrist_X,right_wrist_Y,left_shoulder_X,left_shoulder_Y,left_elbow_X,left_elbow_Y,left_wrist_X,left_wrist_Y,right_hip_X,right_hip_Y,right_knee_X,right_knee_Y,right_ankle_X,right_ankle_Y,left_hip_X,left_hip_Y,left_knee_X,left_knee_Y,left_ankle_X,left_ankle_Y,right_eye_X,right_eye_Y,left_eye_X,left_eye_Y,right_ear_X,right_ear_Y,left_ear_X,left_ear_Y,Activity
0,786,238,781,264,751,267,745,194,760,137,810,262,814,202,812,144,755,408,752,496,750,577,806,410,794,500,787,578,778,231,793,231,764,234,803,233,Tada
1,787,238,783,263,753,266,747,192,764,137,812,261,817,220,815,159,755,408,752,496,751,578,807,409,794,501,787,579,780,230,795,231,766,233,805,233,Tada
2,780,238,776,263,746,266,738,195,755,139,806,260,809,202,808,145,752,409,751,497,751,578,804,410,793,500,787,579,772,230,788,230,759,234,797,234,Tada
3,781,239,776,264,746,267,734,207,753,140,806,261,808,200,806,144,752,411,751,498,751,578,804,411,793,501,787,578,772,231,788,231,760,235,797,235,Tada
4,785,238,780,264,750,267,742,198,760,139,810,262,815,205,812,149,754,409,752,496,752,578,806,411,794,500,787,579,777,230,793,231,764,233,802,235,Tada
5,686,176,681,217,640,222,637,154,646,79,721,211,724,139,723,69,640,394,639,529,640,643,709,397,700,531,691,646,674,166,696,167,659,177,707,176,Tada
6,683,177,679,218,639,222,635,147,643,77,718,213,722,136,722,68,638,394,637,530,639,643,706,397,698,532,691,645,671,168,694,169,655,177,705,179,Tada
7,684,179,681,221,640,224,636,146,644,80,720,218,724,141,722,70,639,395,638,530,640,642,707,398,698,531,690,645,673,169,694,171,658,178,707,180,Tada
8,683,180,679,221,638,223,636,143,643,79,719,219,723,139,722,68,636,396,637,532,641,643,704,399,697,532,689,645,672,170,693,172,656,178,705,182,Tada
9,682,180,680,222,639,224,635,147,644,76,719,219,723,141,722,69,637,394,637,530,640,641,704,396,696,531,688,644,672,171,693,172,656,177,705,180,Tada
10,650,217,648,260,613,261,615,177,619,99,683,258,680,171,676,98,617,419,617,546,622,663,678,416,670,548,657,659,640,208,660,208,625,213,671,214,Tada
11,657,225,654,264,620,265,620,184,629,106,689,263,686,177,684,108,624,418,622,538,626,648,684,418,672,541,658,648,646,215,666,215,629,219,677,217,Tada
12,649,229,645,267,610,267,615,185,620,106,681,266,681,184,683,110,616,427,618,553,625,666,678,426,671,553,660,663,638,218,659,218,623,221,669,220,Tada
13,651,225,649,267,614,268,613,185,620,105,684,266,685,184,682,108,617,426,619,551,626,663,678,426,668,552,656,660,640,216,660,216,625,222,671,221,Tada
14,648,226,646,267,611,268,614,183,619,106,682,266,684,182,682,109,615,425,619,552,627,665,676,425,666,552,656,660,639,216,659,217,625,220,671,222,Tada
15,737,221,729,266,697,266,700,162,715,93,761,265,783,193,776,103,705,405,693,537,689,662,761,409,749,537,744,657,728,212,747,214,713,217,758,224,Tada
16,728,221,721,266,688,266,690,171,700,97,754,265,774,195,760,104,697,413,690,540,689,660,753,411,747,536,745,655,719,212,738,214,704,219,749,223,Tada
17,727,219,721,267,688,268,688,169,699,98,753,266,772,195,761,105,697,415,690,542,688,663,756,414,746,546,745,655,718,210,738,212,704,218,749,223,Tada
18,726,220,718,267,684,266,683,174,701,98,751,267,771,194,760,112,693,417,689,544,689,658,752,416,744,545,744,658,717,211,737,213,703,218,747,224,Tada
19,733,222,727,269,693,270,694,170,705,99,760,267,781,194,770,100,698,417,691,547,689,660,756,415,746,549,743,656,724,213,743,215,710,218,755,225,Tada
20,730,271,728,302,687,300,687,225,703,154,769,302,777,226,775,156,693,471,697,579,696,688,761,472,756,582,755,688,720,259,742,261,705,258,755,263,Tada
21,739,272,739,304,697,302,698,228,714,156,779,306,784,228,787,159,698,472,700,579,697,687,765,475,758,584,756,689,728,260,750,262,715,261,765,263,Tada
22,734,262,739,304,697,304,696,230,711,154,780,303,785,226,785,158,700,470,700,580,696,687,767,472,758,583,755,690,725,250,748,253,713,255,763,262,Tada
23,739,264,740,304,697,301,699,229,715,156,781,306,789,230,788,159,700,472,700,581,696,687,768,474,758,584,756,689,729,253,752,255,717,259,766,265,Tada
24,729,264,731,306,690,306,689,230,705,159,773,306,782,237,777,159,696,472,697,580,695,687,762,474,756,584,755,689,720,253,741,255,708,257,758,264,Tada
25,670,221,672,255,639,255,622,179,640,109,704,253,714,179,694,104,642,398,634,520,643,624,694,400,696,523,687,632,660,213,679,213,649,222,692,222,Tada
26,668,221,674,257,642,259,625,179,641,108,706,255,717,180,696,103,644,397,636,521,643,625,696,399,696,521,687,632,660,213,678,213,650,222,693,221,Tada
27,671,221,674,257,642,257,623,180,640,110,705,256,718,179,696,106,644,397,636,521,643,624,696,399,695,521,685,630,662,213,680,213,651,222,693,222,Tada
28,670,222,675,259,643,259,624,180,640,111,707,256,718,181,698,109,644,399,637,520,644,624,696,401,696,522,686,631,662,214,680,214,652,223,694,222,Tada
29,674,226,675,260,643,261,625,183,642,112,707,258,718,185,699,110,645,403,636,525,643,626,697,404,698,524,687,635,664,219,682,218,652,226,694,224,Tada
30,689,175,686,212,647,211,627,140,644,79,725,211,734,141,713,85,653,363,656,470,658,568,714,366,707,473,702,571,677,167,698,167,662,177,711,175,Tada
31,688,176,685,211,645,211,628,141,643,81,724,210,730,143,708,81,650,363,654,471,656,572,712,367,707,473,703,571,677,168,697,168,661,177,708,175,Tada
32,690,178,687,214,649,214,638,143,645,89,726,213,727,141,716,82,653,364,655,472,656,571,715,368,708,474,704,569,679,170,699,170,663,178,710,175,Tada
33,689,178,686,215,648,217,637,144,645,85,725,213,727,144,714,83,653,365,655,471,656,569,714,369,707,474,704,569,678,171,698,170,662,179,709,176,Tada
34,689,179,687,215,650,215,636,142,645,88,725,214,727,143,715,85,654,364,655,471,656,569,715,368,707,474,703,571,678,171,698,170,663,179,710,176,Tada
35,686,241,681,271,645,268,639,197,661,130,716,273,720,206,713,140,651,411,657,514,659,608,696,412,691,514,690,609,676,232,693,232,661,237,703,237,Tada
36,687,241,683,271,648,268,639,199,664,131,718,272,724,206,715,137,652,411,658,515,659,608,697,412,692,515,689,611,678,233,695,233,663,237,705,237,Tada
37,685,241,683,274,647,272,636,201,661,135,718,276,723,207,712,139,652,414,658,516,659,610,696,416,692,515,689,610,675,232,693,233,662,238,704,238,Tada
38,675,240,674,273,639,272,629,204,653,134,709,274,715,206,704,136,647,414,656,515,660,608,692,414,690,514,690,611,667,232,684,231,654,237,696,236,Tada
39,678,242,678,272,642,271,634,206,656,136,714,273,717,207,705,139,649,415,658,516,660,608,694,417,692,516,690,612,669,234,686,234,656,238,698,238,Tada
40,689,206,688,241,653,244,645,152,667,87,723,239,734,159,727,110,663,372,662,489,667,597,714,372,710,493,704,598,681,196,698,198,667,198,710,202,Tada
41,697,206,696,242,662,245,654,155,673,89,731,238,743,159,737,111,672,373,666,489,668,597,722,375,715,491,704,599,689,197,706,198,676,201,718,202,Tada
42,697,203,695,243,659,246,653,152,672,86,730,240,741,160,734,105,671,373,665,485,667,595,722,374,715,490,704,599,688,194,705,195,675,200,717,200,Tada
43,695,204,694,242,658,245,650,152,670,85,729,239,739,159,732,109,668,373,665,487,668,596,719,375,715,491,705,598,686,195,704,195,673,199,715,201,Tada
44,684,204,683,241,648,244,636,151,656,87,717,237,729,156,723,96,658,373,659,489,666,597,709,373,709,490,704,597,675,195,692,196,662,200,703,199,Tada
45,671,209,669,248,631,252,628,157,636,75,708,242,716,159,712,85,636,421,641,532,631,667,699,421,691,535,688,666,659,199,681,199,644,204,696,204,Tada
