,nose_X,nose_Y,neck_X,neck_Y,right_shoulder_X,right_shoulder_Y,right_elbow_X,right_elbow_Y,right_wrist_X,right_wrist_Y,left_shoulder_X,left_shoulder_Y,left_elbow_X,left_elbow_Y,left_wrist_X,left_wrist_Y,right_hip_X,right_hip_Y,right_knee_X,right_knee_Y,right_ankle_X,right_ankle_Y,left_hip_X,left_hip_Y,left_knee_X,left_knee_Y,left_ankle_X,left_ankle_Y,right_eye_X,right_eye_Y,left_eye_X,left_eye_Y,right_ear_X,right_ear_Y,left_ear_X,left_ear_Y,Activity
0,671,419,711,415,699,450,706,517,697,590,719,380,691,303,658,225,776,462,735,530,707,623,833,439,868,535,897,629,660,420,668,406,,,679,388,Trik
1,661,418,705,414,696,448,703,518,697,590,708,376,691,297,663,221,776,462,734,528,708,624,831,438,867,534,896,628,650,419,658,406,,,669,387,Trik
2,680,413,718,415,706,450,707,519,692,591,728,379,712,292,688,214,787,463,744,530,707,625,843,440,877,534,909,630,669,414,678,400,,,691,384,Trik
3,677,413,716,414,705,448,707,520,694,592,725,379,708,295,683,216,782,465,739,530,708,625,839,441,876,535,909,631,665,414,675,401,,,687,384,Trik
4,683,395,718,400,703,434,703,505,692,574,731,365,728,268,720,201,778,462,737,533,707,626,838,442,875,535,908,630,671,395,682,382,,,694,368,Trik
5,518,349,552,353,534,403,519,489,495,566,559,304,557,211,533,118,632,419,562,498,523,612,702,391,758,500,814,614,505,355,510,334,502,372,511,318,Trik
6,509,348,549,352,534,401,524,491,505,571,555,300,558,203,539,116,632,417,567,496,523,612,703,389,759,499,813,614,495,354,502,332,494,368,506,314,Trik
7,519,348,557,351,542,403,528,490,508,573,562,300,573,198,559,110,642,417,584,505,526,612,714,386,766,500,815,614,504,355,512,333,504,371,515,316,Trik
8,516,348,555,352,540,403,527,494,509,574,560,305,574,202,565,111,640,417,579,504,525,613,711,387,765,502,815,615,502,355,510,334,501,371,513,316,Trik
9,517,351,554,353,539,403,527,493,508,575,559,304,576,205,568,111,638,417,578,504,525,613,709,387,764,501,815,615,502,357,508,336,500,373,511,318,Trik
10,515,390,542,384,536,416,521,493,507,555,544,347,547,265,554,199,615,456,576,549,528,646,661,435,700,544,725,642,508,390,511,382,,,516,375,Trik
11,518,387,542,383,535,419,518,493,499,554,545,346,552,262,554,200,614,457,576,550,527,646,661,436,699,544,725,641,508,387,513,379,,,,,Trik
12,518,395,542,382,537,415,516,490,497,550,545,345,552,260,557,198,614,456,576,549,527,645,661,436,699,544,725,641,,,513,384,,,516,376,Trik
13,514,393,543,383,537,417,517,492,500,552,545,346,550,262,558,199,615,456,575,551,528,645,661,436,699,545,724,641,,,510,384,,,516,379,Trik
14,519,398,543,382,537,415,514,492,495,550,547,346,551,265,556,201,615,456,576,550,528,645,661,436,698,543,725,641,,,515,389,,,519,383,Trik
15,593,412,621,400,609,438,610,509,594,587,628,362,649,280,656,198,700,461,651,570,613,671,753,435,777,559,795,669,581,414,589,399,,,595,379,Trik
