,nose_X,nose_Y,neck_X,neck_Y,right_shoulder_X,right_shoulder_Y,right_elbow_X,right_elbow_Y,right_wrist_X,right_wrist_Y,left_shoulder_X,left_shoulder_Y,left_elbow_X,left_elbow_Y,left_wrist_X,left_wrist_Y,right_hip_X,right_hip_Y,right_knee_X,right_knee_Y,right_ankle_X,right_ankle_Y,left_hip_X,left_hip_Y,left_knee_X,left_knee_Y,left_ankle_X,left_ankle_Y,right_eye_X,right_eye_Y,left_eye_X,left_eye_Y,right_ear_X,right_ear_Y,left_ear_X,left_ear_Y,Activity
0,827,243,823,291,780,291,749,345,811,336,865,290,901,339,837,332,772,400,703,429,782,472,827,426,809,513,793,605,819,235,836,236,805,241,845,241,Vriksh
1,828,243,821,291,779,291,750,346,813,336,863,291,900,341,836,334,771,399,703,430,783,472,826,424,807,516,793,605,819,235,836,236,804,241,845,241,Vriksh
2,831,242,823,291,780,289,752,343,815,334,865,292,901,340,839,332,771,400,704,431,783,472,825,425,807,515,793,605,823,234,839,235,807,239,848,239,Vriksh
3,840,244,829,292,786,288,755,342,819,336,871,294,905,345,843,335,773,398,706,429,783,471,827,424,809,513,793,605,831,235,848,237,816,239,856,242,Vriksh
4,827,242,820,291,778,290,747,344,810,337,862,291,898,341,836,335,769,398,703,430,782,473,824,425,806,516,793,605,819,233,835,236,804,239,844,242,Vriksh
5,707,153,699,211,652,208,615,267,681,253,747,214,775,279,713,254,640,346,568,395,658,458,708,373,686,478,667,578,697,143,718,144,680,148,728,151,Vriksh
6,709,154,701,212,653,208,616,265,680,253,750,215,776,281,713,255,641,346,566,395,657,458,708,373,686,478,668,579,699,143,720,145,682,150,732,152,Vriksh
7,711,153,702,211,653,207,615,264,679,252,751,215,775,281,711,254,640,346,565,395,658,460,708,373,686,477,668,579,700,143,721,144,683,149,732,151,Vriksh
8,704,157,697,211,649,207,611,265,674,252,746,214,771,279,707,254,637,346,565,395,656,460,705,372,685,477,668,579,694,147,714,148,678,152,728,152,Vriksh
9,704,168,695,212,647,208,614,269,681,254,743,215,773,279,711,254,640,348,566,399,658,463,708,375,687,481,668,580,694,156,714,158,677,154,727,160,Vriksh
